
#######################################################
  RUN 1/5  |  seed=42
#######################################################

=======================================================
 Method: FEDAVG  |  Dataset: CICMALDROID
 Tasks: 5  |  Rounds/task: 25  |  Clients: 10
 DP: OFF
=======================================================
 Device: cpu
[CICMalDroid] 5385 samples, 200 features
[CICMalDroid] Benign=1795, Malware=3590
[CICMalDroid] Class dist: {1: 479, 2: 781, 3: 1405, 4: 925, 5: 1795}  (1=Adware 2=Banking 3=SMS 4=Riskware 5=Benign)
[Data] Strategy: category-aware temporal split + client specialization
  Task 0 (dom=Adware): 870 samples | Mal=511 Ben=359
  Task 1 (dom=Banking): 1131 samples | Mal=772 Ben=359
  Task 2 (dom=SMS): 1678 samples | Mal=1319 Ben=359
  Task 3 (dom=Riskware): 1258 samples | Mal=899 Ben=359
  Task 4 (dom=Adware): 448 samples | Mal=89 Ben=359
[Data] 5 tasks x 10 clients ready.

───────────────────────────────────────────────────────
 TASK 0  (25 rounds)
───────────────────────────────────────────────────────
  Client 04 | round=  2 | stage=STABLE     | score=0.000 | loss=0.6264 | acc=0.628 ✓
  Client 05 | round=  2 | stage=STABLE     | score=0.000 | loss=0.6306 | acc=0.628 ✓
  Client 06 | round=  2 | stage=STABLE     | score=0.000 | loss=0.6908 | acc=0.548 ✓
  Client 07 | round=  2 | stage=STABLE     | score=0.000 | loss=0.7304 | acc=0.452 ✓
  Client 08 | round=  2 | stage=STABLE     | score=0.000 | loss=0.6678 | acc=0.703 ✓
  Client 09 | round=  2 | stage=STABLE     | score=0.000 | loss=0.6581 | acc=0.594 ✓
[Server] Round 2: active=10/10 | τ=0.800 | avg_score=0.000 | avg_acc=0.575
  Client 00 | round=  3 | stage=STABLE     | score=0.000 | loss=0.6699 | acc=0.719 ✓
  Client 01 | round=  3 | stage=STABLE     | score=0.000 | loss=0.7197 | acc=0.641 ✓
  Client 02 | round=  3 | stage=STABLE     | score=0.000 | loss=0.7005 | acc=0.610 ✓
  Client 03 | round=  3 | stage=STABLE     | score=0.000 | loss=0.7139 | acc=0.585 ✓
  Client 04 | round=  3 | stage=STABLE     | score=0.000 | loss=0.7049 | acc=0.628 ✓
  Client 05 | round=  3 | stage=STABLE     | score=0.000 | loss=0.7029 | acc=0.605 ✓
  Client 06 | round=  3 | stage=STABLE     | score=0.000 | loss=0.7052 | acc=0.500 ✓
  Client 07 | round=  3 | stage=STABLE     | score=0.000 | loss=0.6479 | acc=0.571 ✓
  Client 08 | round=  3 | stage=STABLE     | score=0.000 | loss=0.6507 | acc=0.641 ✓
  Client 09 | round=  3 | stage=REPLAY     | score=0.500 | loss=0.7289 | acc=0.594 ✓
[Server] Round 3: active=10/10 | τ=0.800 | avg_score=0.050 | avg_acc=0.609
  Client 00 | round=  4 | stage=STABLE     | score=0.000 | loss=0.6776 | acc=0.703 ✓
  Client 01 | round=  4 | stage=REPLAY     | score=0.513 | loss=0.6845 | acc=0.641 ✓
  Client 02 | round=  4 | stage=STABLE     | score=0.134 | loss=0.6928 | acc=0.512 ✓
  Client 03 | round=  4 | stage=STABLE     | score=0.000 | loss=0.7040 | acc=0.488 ✓
  Client 04 | round=  4 | stage=REPLAY     | score=0.397 | loss=0.6284 | acc=0.628 ✓
  Client 05 | round=  4 | stage=REPLAY     | score=0.500 | loss=0.6611 | acc=0.674 ✓
  Client 06 | round=  4 | stage=STABLE     | score=0.027 | loss=0.7705 | acc=0.500 ✓
  Client 07 | round=  4 | stage=STABLE     | score=0.193 | loss=0.6611 | acc=0.667 ✓
  Client 08 | round=  4 | stage=REPLAY     | score=0.317 | loss=0.6323 | acc=0.656 ✓
  Client 09 | round=  4 | stage=STABLE     | score=0.130 | loss=0.6461 | acc=0.703 ✓
[Server] Round 4: active=10/10 | τ=0.800 | avg_score=0.221 | avg_acc=0.617
  Client 00 | round=  5 | stage=STABLE     | score=0.000 | loss=0.7169 | acc=0.656 ✓
  Client 01 | round=  5 | stage=REPLAY     | score=0.496 | loss=0.6707 | acc=0.688 ✓
  Client 02 | round=  5 | stage=STABLE     | score=0.184 | loss=0.6635 | acc=0.537 ✓
  Client 03 | round=  5 | stage=STABLE     | score=0.000 | loss=0.6917 | acc=0.585 ✓
  Client 04 | round=  5 | stage=REPLAY     | score=0.469 | loss=0.6048 | acc=0.628 ✓
  Client 05 | round=  5 | stage=STABLE     | score=0.000 | loss=0.6672 | acc=0.651 ✓
  Client 06 | round=  5 | stage=STABLE     | score=0.215 | loss=0.6870 | acc=0.524 ✓
  Client 07 | round=  5 | stage=STABLE     | score=0.000 | loss=0.6329 | acc=0.595 ✓
  Client 08 | round=  5 | stage=STABLE     | score=0.000 | loss=0.6476 | acc=0.703 ✓
  Client 09 | round=  5 | stage=STABLE     | score=0.000 | loss=0.6647 | acc=0.656 ✓
[Server] Round 5: active=10/10 | τ=0.800 | avg_score=0.136 | avg_acc=0.622
  Client 00 | round=  6 | stage=STABLE     | score=0.000 | loss=0.7363 | acc=0.562 ✓
  Client 01 | round=  6 | stage=STABLE     | score=0.000 | loss=0.5788 | acc=0.781 ✓
  Client 02 | round=  6 | stage=STABLE     | score=0.000 | loss=0.6347 | acc=0.634 ✓
  Client 03 | round=  6 | stage=STABLE     | score=0.000 | loss=0.6973 | acc=0.610 ✓
  Client 04 | round=  6 | stage=REPLAY     | score=0.688 | loss=0.6446 | acc=0.581 ✓
  Client 05 | round=  6 | stage=STABLE     | score=0.103 | loss=0.6155 | acc=0.651 ✓
  Client 06 | round=  6 | stage=STABLE     | score=0.000 | loss=0.6685 | acc=0.548 ✓
  Client 07 | round=  6 | stage=STABLE     | score=0.000 | loss=0.6944 | acc=0.571 ✓
  Client 08 | round=  6 | stage=STABLE     | score=0.000 | loss=0.6578 | acc=0.625 ✓
  Client 09 | round=  6 | stage=REPLAY     | score=0.537 | loss=0.6801 | acc=0.609 ✓
[Server] Round 6: active=10/10 | τ=0.800 | avg_score=0.133 | avg_acc=0.617
  Client 00 | round=  7 | stage=STABLE     | score=0.000 | loss=0.7042 | acc=0.781 ✓
  Client 01 | round=  7 | stage=STABLE     | score=0.000 | loss=0.6133 | acc=0.703 ✓
  Client 02 | round=  7 | stage=STABLE     | score=0.157 | loss=0.6368 | acc=0.610 ✓
  Client 03 | round=  7 | stage=STABLE     | score=0.101 | loss=0.7362 | acc=0.610 ✓
  Client 04 | round=  7 | stage=REPLAY     | score=0.726 | loss=0.6336 | acc=0.674 ✓
  Client 05 | round=  7 | stage=STABLE     | score=0.000 | loss=0.6882 | acc=0.558 ✓
  Client 06 | round=  7 | stage=STABLE     | score=0.069 | loss=0.6609 | acc=0.452 ✓
  Client 07 | round=  7 | stage=STABLE     | score=0.000 | loss=0.6224 | acc=0.643 ✓
  Client 08 | round=  7 | stage=REPLAY     | score=0.504 | loss=0.6415 | acc=0.656 ✓
  Client 09 | round=  7 | stage=STABLE     | score=0.000 | loss=0.5958 | acc=0.719 ✓
[Server] Round 7: active=10/10 | τ=0.800 | avg_score=0.156 | avg_acc=0.641
  Client 00 | round=  8 | stage=STABLE     | score=0.080 | loss=0.6393 | acc=0.750 ✓
  Client 01 | round=  8 | stage=REPLAY     | score=0.451 | loss=0.6237 | acc=0.781 ✓
  Client 02 | round=  8 | stage=STABLE     | score=0.000 | loss=0.6623 | acc=0.537 ✓
  Client 03 | round=  8 | stage=STABLE     | score=0.174 | loss=0.6860 | acc=0.537 ✓
  Client 04 | round=  8 | stage=STABLE     | score=0.118 | loss=0.5922 | acc=0.698 ✓
  Client 05 | round=  8 | stage=STABLE     | score=0.103 | loss=0.7308 | acc=0.558 ✓
  Client 06 | round=  8 | stage=STABLE     | score=0.000 | loss=0.6889 | acc=0.524 ✓
  Client 07 | round=  8 | stage=STABLE     | score=0.000 | loss=0.6236 | acc=0.643 ✓
  Client 08 | round=  8 | stage=REPLAY     | score=0.447 | loss=0.6169 | acc=0.656 ✓
  Client 09 | round=  8 | stage=REPLAY     | score=0.506 | loss=0.6168 | acc=0.750 ✓
[Server] Round 8: active=10/10 | τ=0.800 | avg_score=0.188 | avg_acc=0.643
  Client 00 | round=  9 | stage=STABLE     | score=0.211 | loss=0.6487 | acc=0.703 ✓
  Client 01 | round=  9 | stage=STABLE     | score=0.250 | loss=0.5272 | acc=0.859 ✓
  Client 02 | round=  9 | stage=STABLE     | score=0.000 | loss=0.6643 | acc=0.512 ✓
  Client 03 | round=  9 | stage=REPLAY     | score=0.525 | loss=0.6617 | acc=0.537 ✓
  Client 04 | round=  9 | stage=REPLAY     | score=0.530 | loss=0.6250 | acc=0.605 ✓
  Client 05 | round=  9 | stage=STABLE     | score=0.071 | loss=0.6488 | acc=0.651 ✓
  Client 06 | round=  9 | stage=STABLE     | score=0.000 | loss=0.6725 | acc=0.524 ✓
  Client 07 | round=  9 | stage=REPLAY     | score=1.000 | loss=0.6468 | acc=0.643 ✓
  Client 08 | round=  9 | stage=STABLE     | score=0.000 | loss=0.5968 | acc=0.719 ✓
  Client 09 | round=  9 | stage=STABLE     | score=0.237 | loss=0.5922 | acc=0.703 ✓
[Server] Round 9: active=10/10 | τ=0.800 | avg_score=0.282 | avg_acc=0.646
  Client 00 | round= 10 | stage=STABLE     | score=0.000 | loss=0.6201 | acc=0.812 ✓
  Client 01 | round= 10 | stage=STABLE     | score=0.000 | loss=0.5956 | acc=0.781 ✓
  Client 02 | round= 10 | stage=STABLE     | score=0.000 | loss=0.7504 | acc=0.537 ✓
  Client 03 | round= 10 | stage=REPLAY     | score=0.382 | loss=0.6821 | acc=0.610 ✓
  Client 04 | round= 10 | stage=REPLAY     | score=0.313 | loss=0.6195 | acc=0.605 ✓
  Client 05 | round= 10 | stage=STABLE     | score=0.000 | loss=0.6425 | acc=0.605 ✓
  Client 06 | round= 10 | stage=STABLE     | score=0.000 | loss=0.7336 | acc=0.524 ✓
  Client 07 | round= 10 | stage=STABLE     | score=0.000 | loss=0.6376 | acc=0.595 ✓
  Client 08 | round= 10 | stage=REPLAY     | score=0.651 | loss=0.6233 | acc=0.672 ✓
  Client 09 | round= 10 | stage=STABLE     | score=0.000 | loss=0.5588 | acc=0.797 ✓
[Server] Round 10: active=10/10 | τ=0.800 | avg_score=0.135 | avg_acc=0.654
  Client 00 | round= 11 | stage=STABLE     | score=0.233 | loss=0.6187 | acc=0.734 ✓
  Client 01 | round= 11 | stage=STABLE     | score=0.000 | loss=0.5505 | acc=0.781 ✓
  Client 02 | round= 11 | stage=STABLE     | score=0.000 | loss=0.6340 | acc=0.537 ✓
  Client 03 | round= 11 | stage=STABLE     | score=0.000 | loss=0.6824 | acc=0.488 ✓
  Client 04 | round= 11 | stage=REPLAY     | score=0.550 | loss=0.6152 | acc=0.651 ✓
  Client 05 | round= 11 | stage=STABLE     | score=0.000 | loss=0.6233 | acc=0.674 ✓
  Client 06 | round= 11 | stage=REPLAY     | score=0.860 | loss=0.6485 | acc=0.595 ✓
  Client 07 | round= 11 | stage=STABLE     | score=0.000 | loss=0.5995 | acc=0.667 ✓
  Client 08 | round= 11 | stage=REPLAY     | score=0.366 | loss=0.6462 | acc=0.641 ✓
  Client 09 | round= 11 | stage=STABLE     | score=0.000 | loss=0.5935 | acc=0.719 ✓
[Server] Round 11: active=10/10 | τ=0.800 | avg_score=0.201 | avg_acc=0.649
  Client 00 | round= 12 | stage=REPLAY     | score=0.440 | loss=0.5943 | acc=0.812 ✓
  Client 01 | round= 12 | stage=REPLAY     | score=0.660 | loss=0.5314 | acc=0.797 ✓
  Client 02 | round= 12 | stage=STABLE     | score=0.000 | loss=0.6848 | acc=0.585 ✓
  Client 03 | round= 12 | stage=STABLE     | score=0.031 | loss=0.7525 | acc=0.512 ✓
  Client 04 | round= 12 | stage=REPLAY     | score=0.354 | loss=0.5966 | acc=0.605 ✓
  Client 05 | round= 12 | stage=STABLE     | score=0.126 | loss=0.6519 | acc=0.512 ✓
  Client 06 | round= 12 | stage=REPLAY     | score=0.376 | loss=0.6340 | acc=0.619 ✓
  Client 07 | round= 12 | stage=STABLE     | score=0.000 | loss=0.5990 | acc=0.643 ✓
  Client 08 | round= 12 | stage=STABLE     | score=0.000 | loss=0.5867 | acc=0.703 ✓
  Client 09 | round= 12 | stage=STABLE     | score=0.090 | loss=0.5763 | acc=0.750 ✓
[Server] Round 12: active=10/10 | τ=0.800 | avg_score=0.208 | avg_acc=0.654
  Client 00 | round= 13 | stage=STABLE     | score=0.000 | loss=0.6137 | acc=0.625 ✓
  Client 01 | round= 13 | stage=STABLE     | score=0.029 | loss=0.5119 | acc=0.828 ✓
  Client 02 | round= 13 | stage=REPLAY     | score=0.388 | loss=0.6480 | acc=0.561 ✓
  Client 03 | round= 13 | stage=STABLE     | score=0.150 | loss=0.6648 | acc=0.537 ✓
  Client 04 | round= 13 | stage=STABLE     | score=0.000 | loss=0.6123 | acc=0.674 ✓
  Client 05 | round= 13 | stage=STABLE     | score=0.105 | loss=0.6339 | acc=0.581 ✓
  Client 06 | round= 13 | stage=STABLE     | score=0.000 | loss=0.6672 | acc=0.619 ✓
  Client 07 | round= 13 | stage=STABLE     | score=0.000 | loss=0.5904 | acc=0.690 ✓
  Client 08 | round= 13 | stage=STABLE     | score=0.045 | loss=0.6268 | acc=0.672 ✓
  Client 09 | round= 13 | stage=REPLAY     | score=0.643 | loss=0.5811 | acc=0.750 ✓
[Server] Round 13: active=10/10 | τ=0.800 | avg_score=0.136 | avg_acc=0.654
  Client 00 | round= 14 | stage=STABLE     | score=0.000 | loss=0.5780 | acc=0.812 ✓
  Client 01 | round= 14 | stage=STABLE     | score=0.000 | loss=0.4818 | acc=0.859 ✓
  Client 02 | round= 14 | stage=STABLE     | score=0.000 | loss=0.7015 | acc=0.585 ✓
  Client 03 | round= 14 | stage=REPLAY     | score=0.500 | loss=0.6802 | acc=0.610 ✓
  Client 04 | round= 14 | stage=STABLE     | score=0.052 | loss=0.5873 | acc=0.674 ✓
  Client 05 | round= 14 | stage=REPLAY     | score=0.369 | loss=0.5998 | acc=0.605 ✓
  Client 06 | round= 14 | stage=STABLE     | score=0.000 | loss=0.6932 | acc=0.524 ✓
  Client 07 | round= 14 | stage=REPLAY     | score=0.469 | loss=0.6041 | acc=0.667 ✓
  Client 08 | round= 14 | stage=STABLE     | score=0.000 | loss=0.5810 | acc=0.719 ✓
  Client 09 | round= 14 | stage=STABLE     | score=0.000 | loss=0.6568 | acc=0.609 ✓
[Server] Round 14: active=10/10 | τ=0.800 | avg_score=0.139 | avg_acc=0.666
  Client 00 | round= 15 | stage=STABLE     | score=0.000 | loss=0.5667 | acc=0.797 ✓
  Client 01 | round= 15 | stage=STABLE     | score=0.000 | loss=0.4864 | acc=0.828 ✓
  Client 02 | round= 15 | stage=STABLE     | score=0.000 | loss=0.5910 | acc=0.683 ✓
  Client 03 | round= 15 | stage=STABLE     | score=0.000 | loss=0.5953 | acc=0.634 ✓
  Client 04 | round= 15 | stage=STABLE     | score=0.000 | loss=0.6070 | acc=0.651 ✓
  Client 05 | round= 15 | stage=REPLAY     | score=0.454 | loss=0.5943 | acc=0.674 ✓
  Client 06 | round= 15 | stage=STABLE     | score=0.000 | loss=0.6766 | acc=0.548 ✓
  Client 07 | round= 15 | stage=STABLE     | score=0.283 | loss=0.6077 | acc=0.643 ✓
  Client 08 | round= 15 | stage=STABLE     | score=0.000 | loss=0.6027 | acc=0.641 ✓
  Client 09 | round= 15 | stage=STABLE     | score=0.000 | loss=0.5605 | acc=0.750 ✓
[Server] Round 15: active=10/10 | τ=0.800 | avg_score=0.074 | avg_acc=0.685
  Client 00 | round= 16 | stage=STABLE     | score=0.000 | loss=0.5576 | acc=0.828 ✓
  Client 01 | round= 16 | stage=STABLE     | score=0.000 | loss=0.5065 | acc=0.812 ✓
  Client 02 | round= 16 | stage=REPLAY     | score=0.432 | loss=0.6313 | acc=0.585 ✓
  Client 03 | round= 16 | stage=STABLE     | score=0.000 | loss=0.6533 | acc=0.610 ✓
  Client 04 | round= 16 | stage=STABLE     | score=0.000 | loss=0.5407 | acc=0.698 ✓
  Client 05 | round= 16 | stage=STABLE     | score=0.000 | loss=0.5926 | acc=0.674 ✓
  Client 06 | round= 16 | stage=STABLE     | score=0.000 | loss=0.7049 | acc=0.500 ✓
  Client 07 | round= 16 | stage=STABLE     | score=0.000 | loss=0.6035 | acc=0.667 ✓
  Client 08 | round= 16 | stage=STABLE     | score=0.000 | loss=0.6372 | acc=0.578 ✓
  Client 09 | round= 16 | stage=STABLE     | score=0.000 | loss=0.5616 | acc=0.734 ✓
[Server] Round 16: active=10/10 | τ=0.800 | avg_score=0.043 | avg_acc=0.669
  Client 00 | round= 17 | stage=STABLE     | score=0.071 | loss=0.5360 | acc=0.797 ✓
  Client 01 | round= 17 | stage=STABLE     | score=0.193 | loss=0.4744 | acc=0.828 ✓
  Client 02 | round= 17 | stage=REPLAY     | score=0.435 | loss=0.6418 | acc=0.659 ✓
  Client 03 | round= 17 | stage=STABLE     | score=0.000 | loss=0.6323 | acc=0.634 ✓
  Client 04 | round= 17 | stage=STABLE     | score=0.082 | loss=0.6037 | acc=0.674 ✓
  Client 05 | round= 17 | stage=STABLE     | score=0.000 | loss=0.6033 | acc=0.674 ✓
  Client 06 | round= 17 | stage=STABLE     | score=0.023 | loss=0.6500 | acc=0.595 ✓
  Client 07 | round= 17 | stage=STABLE     | score=0.000 | loss=0.6162 | acc=0.643 ✓
  Client 08 | round= 17 | stage=STABLE     | score=0.193 | loss=0.5789 | acc=0.672 ✓
  Client 09 | round= 17 | stage=STABLE     | score=0.000 | loss=0.5461 | acc=0.719 ✓
[Server] Round 17: active=10/10 | τ=0.800 | avg_score=0.100 | avg_acc=0.690
  Client 00 | round= 18 | stage=REPLAY     | score=0.500 | loss=0.4969 | acc=0.828 ✓
  Client 01 | round= 18 | stage=STABLE     | score=0.272 | loss=0.4957 | acc=0.844 ✓
  Client 02 | round= 18 | stage=STABLE     | score=0.000 | loss=0.6060 | acc=0.683 ✓
  Client 03 | round= 18 | stage=REPLAY     | score=0.488 | loss=0.6372 | acc=0.537 ✓
  Client 04 | round= 18 | stage=REPLAY     | score=0.715 | loss=0.5919 | acc=0.628 ✓
  Client 05 | round= 18 | stage=STABLE     | score=0.000 | loss=0.6003 | acc=0.651 ✓
  Client 06 | round= 18 | stage=REPLAY     | score=0.311 | loss=0.6652 | acc=0.548 ✓
  Client 07 | round= 18 | stage=STABLE     | score=0.000 | loss=0.6262 | acc=0.643 ✓
  Client 08 | round= 18 | stage=REPLAY     | score=0.629 | loss=0.6124 | acc=0.609 ✓
  Client 09 | round= 18 | stage=STABLE     | score=0.000 | loss=0.5030 | acc=0.781 ✓
[Server] Round 18: active=10/10 | τ=0.800 | avg_score=0.292 | avg_acc=0.675
  Client 00 | round= 19 | stage=STABLE     | score=0.000 | loss=0.4732 | acc=0.859 ✓
  Client 01 | round= 19 | stage=STABLE     | score=0.000 | loss=0.4981 | acc=0.859 ✓
  Client 02 | round= 19 | stage=STABLE     | score=0.000 | loss=0.6024 | acc=0.659 ✓
  Client 03 | round= 19 | stage=REPLAY     | score=1.000 | loss=0.6372 | acc=0.610 ✓
  Client 04 | round= 19 | stage=STABLE     | score=0.000 | loss=0.5867 | acc=0.674 ✓
  Client 05 | round= 19 | stage=STABLE     | score=0.000 | loss=0.6029 | acc=0.651 ✓
  Client 06 | round= 19 | stage=REPLAY     | score=0.302 | loss=0.6495 | acc=0.524 ✓
  Client 07 | round= 19 | stage=STABLE     | score=0.144 | loss=0.5655 | acc=0.690 ✓
  Client 08 | round= 19 | stage=REPLAY     | score=0.422 | loss=0.6597 | acc=0.625 ✓
  Client 09 | round= 19 | stage=STABLE     | score=0.000 | loss=0.5810 | acc=0.734 ✓
[Server] Round 19: active=10/10 | τ=0.800 | avg_score=0.187 | avg_acc=0.689
  Client 00 | round= 20 | stage=STABLE     | score=0.000 | loss=0.4731 | acc=0.828 ✓
  Client 01 | round= 20 | stage=STABLE     | score=0.000 | loss=0.4278 | acc=0.875 ✓
  Client 02 | round= 20 | stage=STABLE     | score=0.035 | loss=0.6563 | acc=0.634 ✓
  Client 03 | round= 20 | stage=REPLAY     | score=0.602 | loss=0.6194 | acc=0.634 ✓
  Client 04 | round= 20 | stage=STABLE     | score=0.000 | loss=0.5544 | acc=0.721 ✓
  Client 05 | round= 20 | stage=STABLE     | score=0.128 | loss=0.5984 | acc=0.628 ✓
  Client 06 | round= 20 | stage=STABLE     | score=0.073 | loss=0.6332 | acc=0.619 ✓
  Client 07 | round= 20 | stage=STABLE     | score=0.091 | loss=0.6148 | acc=0.667 ✓
  Client 08 | round= 20 | stage=STABLE     | score=0.000 | loss=0.5797 | acc=0.703 ✓
  Client 09 | round= 20 | stage=STABLE     | score=0.000 | loss=0.5236 | acc=0.734 ✓
[Server] Round 20: active=10/10 | τ=0.800 | avg_score=0.093 | avg_acc=0.704
  Client 00 | round= 21 | stage=STABLE     | score=0.000 | loss=0.5017 | acc=0.828 ✓
  Client 01 | round= 21 | stage=STABLE     | score=0.068 | loss=0.5033 | acc=0.812 ✓
  Client 02 | round= 21 | stage=STABLE     | score=0.069 | loss=0.5995 | acc=0.634 ✓
  Client 03 | round= 21 | stage=STABLE     | score=0.000 | loss=0.6316 | acc=0.585 ✓
  Client 04 | round= 21 | stage=STABLE     | score=0.000 | loss=0.5370 | acc=0.814 ✓
  Client 05 | round= 21 | stage=STABLE     | score=0.292 | loss=0.5899 | acc=0.674 ✓
  Client 06 | round= 21 | stage=REPLAY     | score=0.660 | loss=0.6691 | acc=0.595 ✓
  Client 07 | round= 21 | stage=STABLE     | score=0.000 | loss=0.5988 | acc=0.643 ✓
  Client 08 | round= 21 | stage=STABLE     | score=0.000 | loss=0.5908 | acc=0.688 ✓
  Client 09 | round= 21 | stage=STABLE     | score=0.000 | loss=0.5504 | acc=0.719 ✓
[Server] Round 21: active=10/10 | τ=0.800 | avg_score=0.109 | avg_acc=0.699
  Client 00 | round= 22 | stage=STABLE     | score=0.195 | loss=0.4629 | acc=0.844 ✓
  Client 01 | round= 22 | stage=STABLE     | score=0.000 | loss=0.4292 | acc=0.891 ✓
  Client 02 | round= 22 | stage=STABLE     | score=0.000 | loss=0.6080 | acc=0.634 ✓
  Client 03 | round= 22 | stage=STABLE     | score=0.000 | loss=0.7164 | acc=0.512 ✓
  Client 04 | round= 22 | stage=STABLE     | score=0.000 | loss=0.5000 | acc=0.744 ✓
  Client 05 | round= 22 | stage=STABLE     | score=0.067 | loss=0.5445 | acc=0.721 ✓
  Client 06 | round= 22 | stage=STABLE     | score=0.244 | loss=0.6394 | acc=0.571 ✓
  Client 07 | round= 22 | stage=STABLE     | score=0.000 | loss=0.5778 | acc=0.667 ✓
  Client 08 | round= 22 | stage=STABLE     | score=0.000 | loss=0.5788 | acc=0.703 ✓
  Client 09 | round= 22 | stage=STABLE     | score=0.013 | loss=0.5008 | acc=0.750 ✓
[Server] Round 22: active=10/10 | τ=0.800 | avg_score=0.052 | avg_acc=0.704
  Client 00 | round= 23 | stage=STABLE     | score=0.120 | loss=0.4680 | acc=0.844 ✓
  Client 01 | round= 23 | stage=STABLE     | score=0.000 | loss=0.4260 | acc=0.906 ✓
  Client 02 | round= 23 | stage=REPLAY     | score=0.331 | loss=0.5895 | acc=0.707 ✓
  Client 03 | round= 23 | stage=STABLE     | score=0.000 | loss=0.6449 | acc=0.634 ✓
  Client 04 | round= 23 | stage=STABLE     | score=0.000 | loss=0.5236 | acc=0.744 ✓
  Client 05 | round= 23 | stage=REPLAY     | score=0.452 | loss=0.6079 | acc=0.605 ✓
  Client 06 | round= 23 | stage=REPLAY     | score=0.526 | loss=0.6546 | acc=0.571 ✓
  Client 07 | round= 23 | stage=STABLE     | score=0.000 | loss=0.5817 | acc=0.714 ✓
  Client 08 | round= 23 | stage=STABLE     | score=0.144 | loss=0.5723 | acc=0.719 ✓
  Client 09 | round= 23 | stage=REPLAY     | score=0.727 | loss=0.5083 | acc=0.781 ✓
[Server] Round 23: active=10/10 | τ=0.800 | avg_score=0.230 | avg_acc=0.723
  Client 00 | round= 24 | stage=STABLE     | score=0.000 | loss=0.5619 | acc=0.844 ✓
  Client 01 | round= 24 | stage=STABLE     | score=0.000 | loss=0.4175 | acc=0.906 ✓
  Client 02 | round= 24 | stage=STABLE     | score=0.000 | loss=0.6223 | acc=0.634 ✓
  Client 03 | round= 24 | stage=STABLE     | score=0.073 | loss=0.6524 | acc=0.659 ✓
  Client 04 | round= 24 | stage=STABLE     | score=0.000 | loss=0.5636 | acc=0.767 ✓
  Client 05 | round= 24 | stage=STABLE     | score=0.000 | loss=0.5246 | acc=0.744 ✓
  Client 06 | round= 24 | stage=STABLE     | score=0.020 | loss=0.6440 | acc=0.619 ✓
  Client 07 | round= 24 | stage=STABLE     | score=0.000 | loss=0.5866 | acc=0.619 ✓
  Client 08 | round= 24 | stage=STABLE     | score=0.000 | loss=0.5936 | acc=0.641 ✓
  Client 09 | round= 24 | stage=REPLAY     | score=0.898 | loss=0.5132 | acc=0.734 ✓
[Server] Round 24: active=10/10 | τ=0.800 | avg_score=0.099 | avg_acc=0.717
  Client 00 | round= 25 | stage=STABLE     | score=0.014 | loss=0.4594 | acc=0.797 ✓
  Client 01 | round= 25 | stage=STABLE     | score=0.000 | loss=0.4289 | acc=0.906 ✓
  Client 02 | round= 25 | stage=STABLE     | score=0.000 | loss=0.5971 | acc=0.634 ✓
